,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Categoría,Elección,Tenemos (Uds),Uds,Proveedor,Enlace,€/Ud,€ Total,Total Compra Minima,Gasto No Afiliados,Proveedor Afiliado,Enlace Afiliado,€/Ud Afiliado,€ Total Afiliado,Total Compra Minima Afiliados,,Proveedores Baratos,Total,SUM de Total Compra Minima,SUM de Gasto No Afiliados,,Proveedor Afiliado,Total,,Categoría,SUM de € Total,SUM de € Total Afiliado
,Controladores,Waveshare ESP32-P4-ETH,1,1,AliExpress,"https://es.aliexpress.com/item/1005009718228392.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.3.12831rno1rnoKu&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=35e1ebc8-488a-4d83-b7ea-ebc3b94262d8&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:35e1ebc8-488a-4d83-b7ea-ebc3b94262d8,tpp_buckets:668%232846%238115%232000&pdp_ext_f=%7B%22order%22%3A%22199%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%2127.90%2113.39%21%21%21224.82%21107.90%21%402103835e17668487744786857e8bcc%2112000049941299745%21rec%21ES%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005009718228392%7C_p_origin_prod%3A","17,96 €","17,96 €","0,00 €","0,00 €",,,,"0,00 €","0,00 €",,,,,,,,,,,,
,Materiales y Mecanica,PLA 1KG,1,"0,5",Amazon,https://www.amazon.es/ANYCUBIC-Filamento-Impresora-Precisi%C3%B3n-Dimensional/dp/B07DCKH74D/ref=sr_1_14?crid=3RH4P00GXWB4C&dib=eyJ2IjoiMSJ9.CnQRgktBvNHVTWN2ih6NUH0nHbpyi9frBwM_Kbcme-LEvBLbe6kRQIfCdx8ffsUuyhy3o2Ee4uerA-z7pl_ucKxx_ZZ6eJB063BJGbIzj29c3D7JfKPyuGDoa_Z_qfa5GaeLcXyPx5P2F8-QK0UY3jeof5zXOIssLNvVGQfkqsUROqIxPUP7HWmFrft2KP8STIeRyrn-t-keu_dK7zRu0p7Qg8vRkqQflpZrxTwXLWQON7RJT12482cOC18LODhSmRuyEnR5_ikLx8-wmOzMIet_26LdEwl6rTbTxKhWf0U.gi9s47DTuxPGxAWje4mNYcRAnOSG6xvtGheDDvob2i4&dib_tag=se&keywords=pla%2Banycubic&qid=1766854024&sprefix=pla%2Ba%2Caps%2C243&sr=8-14&th=1,"15,99 €","8,00 €","0,00 €","0,00 €",Filament2Print,https://filament2print.com/es/pla/3493-pla-galaxy-bambu-lab.html,"23,13 €","11,57 €","0,00 €",,,,,,,,,,,,
,Materiales y Mecanica,Ruedas giratorias 360 °,1,2,AliExpress,https://es.aliexpress.com/item/1005010044249570.html?spm=a2g0o.cart.0.0.2c3a7a9d78CeOP&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.60%21EUR%201.60%21%21EUR%201.45%21%21%21%4021038e1e17673729943842556ef4d0%2112000050930908468%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp#nav-review,"0,40 €","0,80 €","1,60 €","1,60 €",,,,"0,00 €","0,00 €",,,,,,,,,,,,
,Modulos Electronica,Drivers DRV8871,0,2,AliExpress,https://es.aliexpress.com/item/1005009890289198.html?spm=a2g0o.productlist.main.1.2e8a2bf8VQ3xbp&algo_pvid=9d27eb91-ad89-44ad-bcd4-ba8bf0d98ec1&algo_exp_id=9d27eb91-ad89-44ad-bcd4-ba8bf0d98ec1-0&pdp_ext_f=%7B%22order%22%3A%22885%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%216.02%212.55%21%21%2147.21%2120.00%21%402101c44517729020397748370e06b3%2112000050491665091%21sea%21ES%21727181518%21X%211%210%21n_tag%3A-29919%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000201414769&curPageLogUid=PiwSs4tcZQ1W&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009890289198%7C_p_origin_prod%3A,"1,28 €","2,55 €","2,55 €","2,55 €",,,,"0,00 €","0,00 €",,,,,,,,,,,,
,Modulos Electronica,Convertidor Buck XL4015 5A Disipador,3,3,AliExpress,https://es.aliexpress.com/item/1005008778673117.html?spm=a2g0o.cart.0.0.419c7a9dZsYgPG&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2012.48%21EUR%205.99%21%21EUR%205.64%21%21%21%40211b819117673817266745200ef158%2112000046630877977%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"1,20 €","3,59 €","0,00 €","0,00 €",,,,"0,00 €","0,00 €",,,,,,,,,,,,
,Ordenadores,Raspberry PI 5 8GB,0,1,Mouser Electronics,https://www.mouser.es/ProductDetail/Raspberry-Pi/SC1432?qs=4dK74SdgGtykYzUsGkX7lw%3D%3D,"81,70 €","81,70 €","81,70 €","0,00 €",Mouser Electronics,https://www.mouser.es/ProductDetail/Raspberry-Pi/SC1432?qs=4dK74SdgGtykYzUsGkX7lw%3D%3D,"81,70 €","81,70 €","81,70 €",,,,,,,,,,,,
,Sensores,Lidar D500 LD19P,0,1,AliExpress,"https://es.aliexpress.com/item/1005010407225695.html?spm=a2g0o.cart.shoppingCartRecommend.12.25b87a9dxD0Kku&gps-id=shoppingCartRecommend&scm=1007.29670.470291.0&scm_id=1007.29670.470291.0&scm-url=1007.29670.470291.0&pvid=3eb6d6d0-74b0-45cd-a6fd-1cc8bfece96b&_t=gps-id:shoppingCartRecommend,scm-url:1007.29670.470291.0,pvid:3eb6d6d0-74b0-45cd-a6fd-1cc8bfece96b,tpp_buckets:668%232846%238107%231934&pdp_ext_f=%7B%22order%22%3A%2259%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%223440%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%2140.67%2140.33%21%21%2147.18%2146.79%21%40211b81a317709086167105887e37c9%2112000052318108402%21rec%21ES%21727181518%21XZ%211%210%21n_tag%3A-29919%3Bd%3Aea23ed5a%3Bm03_new_user%3A-29895%3BpisId%3A5000000200976702&utparam-url=scene%3AshoppingCartRecommend%7Cquery_from%3A%7Cx_object_id%3A1005010407225695%7C_p_origin_prod%3A&search_p4p_id=202602120703367401003615307056109650_2#nav-description","55,52 €","55,52 €","55,52 €","0,00 €",Mouser Electronics,SEN0547 DFRobot | Mouser España,"102,34 €","102,34 €","102,34 €",,,,,,,,,,,,
,Sensores,Cámara IMX219 8MP,1,1,AliExpress,https://es.aliexpress.com/item/1005006912887641.html?spm=a2g0o.productlist.main.2.56a46844wASj1R&algo_pvid=67a0bdfc-fcee-44bc-b98b-24f78b39fde6&algo_exp_id=67a0bdfc-fcee-44bc-b98b-24f78b39fde6-1&pdp_ext_f=%7B%22order%22%3A%2266%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%218.76%214.26%21%21%2170.59%2134.33%21%40211b807017668510381455094e9401%2112000038706311284%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636333&curPageLogUid=uvsRAykOoGr7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006912887641%7C_p_origin_prod%3A,"7,51 €","7,51 €","0,00 €","0,00 €",RobotShop,https://eu.robotshop.com/es/products/arducam-imx415-mipi-camera-module-rpi?qd=6ea4a7c0c2e7dd99a9e710f98445a2a8,"27,49 €","27,49 €","0,00 €",,,,,,,,,,,,
,Sensores,Voltaje y Corriente INA226 20A,0,1,AliExpress,https://a.aliexpress.com/_EHHc2bQ,"2,99 €","2,99 €","2,99 €","0,00 €",Mouser Electronics,https://www.mouser.es/ProductDetail/Tinkerforge/2105?qs=T8HDo%252BTk69WoIYsaxrzsmw%3D%3D,"16,51 €","16,51 €","16,51 €",,,,,,,,,,,,
,Sensores,Array sensor IR de 8 canales,1,1,AliExpress,https://es.aliexpress.com/item/1005008643159988.html?spm=a2g0o.productlist.main.5.4fdb22f9NZ3y7t&algo_pvid=f90af064-ea9c-43e9-af0e-b717dd60fb35&algo_exp_id=f90af064-ea9c-43e9-af0e-b717dd60fb35-4&pdp_ext_f=%7B%22order%22%3A%22159%22%2C%22spu_best_type%22%3A%22service%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%213.78%210.99%21%21%2130.42%217.96%21%40211b613917668511532241512e5bab%2112000046070391331%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636331&curPageLogUid=zUoMzW7yVhpO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008643159988%7C_p_origin_prod%3A#nav-description,"1,28 €","1,28 €","0,00 €","0,00 €",,,,"0,00 €","0,00 €",,,,,,,,,,,,
,TOTAL,,,,,,,"243,00 €","189,50 €","6,05 €",,Gasto fuera de afiliados:,"6,05 €","276,69 €","250,69 €",,,,,,,,,,,,
